,0
532,612550150
533,612543773
534,598978739
535,612511581
536,612494491
537,612484954
538,607077592
539,610003561
540,612418987
541,612417105
542,612414461
543,612401137
544,612397599
545,587084427
546,607762367
547,612360927
548,612360296
549,612356234
550,612330896
551,601365317
552,612319188
553,612302665
554,612246675
555,612213316
556,612170716
557,612168352
558,612140529
559,612139722
560,567590024
561,612119074
562,612116793
563,612105719
564,607004550
565,604037277
566,610434652
567,612065252
568,612058714
569,612056076
570,612039400
571,612001991
572,611975411
573,601412249
574,609187155
575,611947004
576,606752218
577,603724170
578,580330517
579,565941531
580,611774550
581,611749806
582,611748265
583,611740835
584,611726136
585,611718442
586,611715746
587,611715283
588,607001717
589,590983700
590,611669651
591,611665508
592,611663790
593,609490785
594,611654083
595,611645482
596,611636973
597,592390396
598,581298220
599,611414598
600,611403595
601,611366308
602,611217078
603,611355574
604,571706452
605,611279692
606,607416675
607,611270712
608,594273727
609,600157419
610,602677734
611,611232150
612,606750136
613,611225603
614,596802046
615,583915751
616,602153685
617,556592864
618,584031338
619,611058799
620,611027217
621,611023101
622,610992164
623,607398973
624,604355090
625,574398235
626,604930353
627,581116423
628,559575128
629,607674944
630,595229768
631,594514686
632,594529078
633,610578486
634,610564751
635,610542038
636,610519956
637,610435555
638,563137863
639,610285969
640,608022684
641,610039051
642,610029734
643,607011746
644,609885776
645,601669441
646,609843714
647,585749468
648,606983250
649,609719692
650,609705255
651,609701815
652,609590339
653,609568608
654,609535590
655,602277061
656,609522883
657,609520097
658,609511533
659,609418447
660,571684667
661,609304798
662,601455025
663,609198396
664,582722237
665,596888550
666,585797792
667,607841992
668,592851848
669,608797149
670,608721649
671,608715188
672,604857270
673,608558736
674,608506165
675,608472500
676,608428414
677,608374489
678,601620739
679,587158857
680,608239672
681,581106742
682,608082508
683,608071250
684,592823284
685,607999645
686,570671904
687,607952552
688,607921412
689,541217391
690,607635722
691,607459480
692,607446323
693,586844442
694,607434850
695,607322767
696,607300684
697,607255834
698,607226919
699,607222662
700,587027073
701,607168099
702,607090375
703,607088120
704,607000025
705,606985660
706,582866026
707,493977796
708,606818714
709,606769715
710,606737500
711,606728073
712,606714754
713,606567199
714,606546368
715,606484108
716,606425899
717,606410238
718,606407033
719,606330992
720,606321624
721,606266302
722,606177387
723,606047275
724,606044195
725,605861699
726,605855363
727,603021823
728,605668053
729,605661833
730,605393976
731,605392652
732,605360480
733,605324906
734,605321363
735,605305939
736,605304904
737,605285008
738,605283141
739,605260453
740,605231582
741,605209468
742,605175648
743,605140236
744,605008979
745,605001146
746,604989697
747,604976982
748,604954467
749,604855043
750,604848681
751,604836712
752,604819513
753,604536555
754,604451822
755,604451080
756,604326799
757,604314203
758,604241686
759,604189077
760,604134170
761,604132435
762,604094871
763,604015827
764,603996479
765,603856039
766,603792852
767,580158709
768,603603885
769,602127792
770,603340816
771,603254359
772,603205778
773,603192942
774,603188287
775,601329979
776,602979402
777,602975116
778,602937884
779,602905344
780,602904085
781,602879294
782,602751688
783,602706077
784,602667718
785,588060779
786,602658651
787,602634156
788,602629575
789,602611800
790,602585605
791,602569451
792,602554173
793,602528164
794,602283355
795,602258138
796,602251081
797,602230132
798,602214827
799,602141794
800,602123988
801,602105915
802,602033614
803,601821772
804,601785606
805,601761307
806,598386233
807,601467433
808,601447626
809,601367161
810,601351191
811,601319079
812,601217569
813,601212204
814,601136454
815,600976842
816,600961401
817,600860137
818,600823019
819,600658891
820,600462128
821,600359216
822,600273065
823,600246044
824,600205772
825,600033667
826,600017841
827,599998019
828,599984541
829,599845727
830,599791171
831,599696702
832,576475981
833,599574266
834,599570804
835,599540143
836,599478130
837,599412818
838,598955430
839,598774548
840,598755009
841,593796548
842,598489721
843,598488629
844,598417849
845,598242840
846,598208884
847,598131861
848,598013584
849,597997703
850,597823233
851,597691247
852,597604502
853,597432403
854,597280843
855,596813629
856,596808412
857,596652453
858,596484847
859,596443729
860,596440954
861,596368587
862,596358188
863,595989073
864,595914619
865,595901594
866,595763211
867,595674375
868,595655678
869,595642810
870,595621279
871,570617884
872,612788990
873,606755706
874,609679004
875,608622780
876,612702981
877,608787957
878,612570136
879,612561567
880,612544146
881,612542202
882,612495296
883,612493614
884,612456250
885,612401958
886,601379062
887,612388378
888,579944835
889,610427386
890,565930454
891,609426113
892,612309829
893,612263111
894,612189767
895,612061445
896,612051801
897,612014796
898,611998883
899,611974086
900,611973443
901,577981405
902,442348392
903,607574103
904,611929082
905,611889091
906,611796132
907,611790878
908,610635768
909,607847141
910,611722576
911,611707523
912,591729255
913,586339938
914,580335565
915,611688941
916,611687422
917,611679829
918,583272652
919,612788990
920,606755706
921,609679004
922,608622780
923,612702981
924,608787957
925,612570136
926,612561567
927,612544146
928,612542202
929,612495296
930,612493614
931,612456250
932,612401958
933,601379062
934,612388378
935,579944835
936,610427386
937,565930454
938,609426113
939,612309829
940,612263111
941,612189767
942,612061445
943,612051801
944,612014796
945,611998883
946,611974086
947,611973443
948,577981405
949,442348392
950,607574103
951,611929082
952,611889091
953,611796132
954,611790878
955,610635768
956,607847141
957,611722576
958,611707523
959,591729255
960,586339938
961,580335565
962,611688941
963,611687422
964,611679829
965,583272652
966,611596919
967,581626599
968,611567125
969,607418607
970,563844089
971,595820881
972,599475942
973,607006256
974,611494086
975,611435941
976,601413198
977,611396854
978,611385806
979,611331386
980,611330061
981,604492789
982,559580682
983,575962759
984,583082159
985,600365671
